Turnshoe Construction,93.0
Welted Construction,297.0
Ankle Boot,57.0
Heel Stiffener,27.0
Cutting,9.0
Waxed Vegtan,33.0
3oz Straight Stitching (/in),1.1
Small Buckle/Clip,3.0
3oz Curved Stitching (/in),1.5
6oz Curved Stitching (/in),2.0
Patternmaking,48.0
Beeswaxed Vegtan (/in^2),0.17
Stitching,78.0
Vegtan (/in^2),0.09
Closure,6.0
Vegtan Insole,42.0
Large Buckle/Clip,10.0
Strap Cutting /in,0.2
Cork Midsole,27.0
Beeswax Finish (/in^2),0.06
Uppers Leather,51.0
Craft,42.0
Iron Black,21.0
Craft 2,63.0
Latigo Insole,24.0
6oz Straight Stitching (/in),1.1
EVA Midsole,12.0
Vibram Outsole,39.0
